customer_id,age,tenure_months,monthly_charges,contract_type,internet_service,paperless_billing,tech_support,churn
C0433,65,53,70.89,One year,Fiber optic,Yes,No,No
C0434,25,23,110.71,One year,No,No,Yes,No
C0435,43,5,61.93,Two year,DSL,Yes,Yes,Yes
C0436,25,54,84.71,Month-to-month,DSL,Yes,No,Yes
C0437,50,66,54.24,Month-to-month,Fiber optic,Yes,Yes,Yes
C0438,71,2,60.82,Two year,Fiber optic,Yes,Yes,No
C0439,22,32,64.01,Month-to-month,Fiber optic,Yes,Yes,Yes
C0440,41,60,32.58,One year,DSL,Yes,No,No
C0441,74,51,29.17,One year,Fiber optic,No,Yes,No
C0442,35,62,86.75,Month-to-month,Fiber optic,Yes,Yes,No
C0443,25,30,85.55,Month-to-month,Fiber optic,Yes,Yes,Yes
C0444,46,27,86.29,Month-to-month,Fiber optic,Yes,Yes,No
C0445,47,52,21.98,Month-to-month,Fiber optic,Yes,No,Yes
C0446,56,12,52.65,Month-to-month,Fiber optic,Yes,Yes,Yes
C0447,36,18,39.78,Month-to-month,Fiber optic,Yes,No,Yes
C0448,73,44,97.82,One year,DSL,Yes,No,Yes
C0449,48,49,106.06,Two year,Fiber optic,No,Yes,No
C0450,34,9,44.67,One year,Fiber optic,Yes,No,No
C0451,73,37,86.78,Month-to-month,DSL,Yes,No,No
C0452,71,27,32.94,Month-to-month,DSL,Yes,No,No
C0453,46,37,47.52,Month-to-month,Fiber optic,No,Yes,No
C0454,19,70,33.87,Month-to-month,DSL,Yes,Yes,No
C0455,52,6,48.35,Two year,No,No,No,No
C0456,50,72,87.47,Month-to-month,DSL,No,No,No
C0457,26,33,111.03,Month-to-month,No,Yes,No,Yes
C0458,54,56,40.25,Two year,DSL,Yes,No,No
C0459,66,31,74.21,Month-to-month,Fiber optic,No,Yes,No
C0460,24,23,90.14,Month-to-month,Fiber optic,Yes,No,No
C0461,59,56,115.29,Month-to-month,DSL,Yes,No,No
C0462,26,50,81.01,One year,No,Yes,No,No
C0463,61,11,45.51,One year,Fiber optic,Yes,Yes,Yes
C0464,42,51,82.55,Month-to-month,Fiber optic,Yes,Yes,No
C0465,18,55,52.05,Two year,DSL,Yes,No,Yes
C0466,74,28,117.61,Two year,Fiber optic,Yes,No,No
C0467,27,67,59.97,Two year,DSL,Yes,No,No
C0468,52,47,88.54,Month-to-month,Fiber optic,Yes,Yes,No
C0469,28,25,22.32,Month-to-month,DSL,No,Yes,No
C0470,72,1,60.01,Two year,DSL,Yes,No,Yes
C0471,60,49,107.51,Month-to-month,DSL,Yes,No,Yes
C0472,64,16,81.02,One year,DSL,Yes,No,No
C0473,43,55,64.39,One year,DSL,Yes,No,No
C0474,45,38,113.59,Month-to-month,DSL,Yes,No,Yes
C0475,54,34,105.4,One year,DSL,Yes,No,Yes
C0476,63,12,52.22,Two year,Fiber optic,Yes,No,No
C0477,67,52,74.45,One year,DSL,Yes,No,No
C0478,19,12,68.98,Month-to-month,Fiber optic,Yes,No,No
C0479,56,31,83.22,Two year,DSL,Yes,No,Yes
C0480,24,61,53.41,Month-to-month,DSL,Yes,No,No
C0481,34,67,44.42,One year,Fiber optic,Yes,No,No
C0482,66,72,111.27,One year,Fiber optic,Yes,No,Yes
C0483,32,69,112.39,One year,Fiber optic,Yes,No,No
C0484,64,41,104.33,Month-to-month,DSL,Yes,No,Yes
C0485,44,15,117.82,Month-to-month,Fiber optic,Yes,No,Yes
C0486,31,61,94.5,Month-to-month,Fiber optic,Yes,No,No
C0487,37,58,96.47,Month-to-month,DSL,Yes,No,No
C0488,48,72,96.26,Month-to-month,DSL,No,No,No
C0489,62,47,68.06,One year,Fiber optic,Yes,Yes,Yes
C0490,53,11,65.65,Month-to-month,Fiber optic,Yes,No,Yes
C0491,72,37,44.02,One year,No,Yes,No,Yes
C0492,68,33,84.48,Two year,DSL,No,Yes,No
C0493,61,61,48.93,Month-to-month,DSL,Yes,No,No
C0494,52,29,45.78,One year,Fiber optic,Yes,No,Yes
C0495,34,24,78.6,One year,Fiber optic,No,Yes,No
C0496,41,6,61.0,Month-to-month,Fiber optic,Yes,No,Yes
C0497,24,61,41.89,Month-to-month,DSL,No,No,No
C0498,39,55,101.61,One year,Fiber optic,Yes,No,No
C0499,71,3,106.06,Two year,Fiber optic,Yes,No,No
C0500,42,32,36.77,One year,DSL,Yes,No,No
C0501,24,35,20.75,Two year,No,Yes,No,No
C0502,55,34,53.61,Two year,DSL,No,No,No
C0503,73,67,99.75,Month-to-month,Fiber optic,Yes,Yes,No
C0504,68,11,103.92,One year,Fiber optic,No,No,Yes
C0505,33,23,33.83,Month-to-month,Fiber optic,Yes,No,No
C0506,44,14,97.43,Two year,Fiber optic,Yes,No,Yes
C0507,48,18,31.57,Month-to-month,DSL,No,No,No
C0508,32,66,59.01,Month-to-month,Fiber optic,Yes,No,No
C0509,33,68,119.86,Two year,DSL,No,No,No
C0510,31,4,39.26,Month-to-month,DSL,Yes,Yes,No
C0511,75,46,35.4,One year,No,Yes,No,No
C0512,61,17,62.28,Month-to-month,Fiber optic,Yes,No,No
C0513,66,14,81.97,Two year,Fiber optic,Yes,No,No
C0514,65,22,113.29,Two year,Fiber optic,Yes,No,No
C0515,73,14,118.08,Month-to-month,Fiber optic,Yes,No,No
C0516,24,36,26.96,One year,Fiber optic,Yes,No,Yes
C0517,69,72,33.8,Month-to-month,Fiber optic,Yes,No,No
C0518,21,43,99.07,One year,DSL,No,Yes,No
C0519,45,53,47.06,One year,Fiber optic,Yes,No,Yes
C0520,52,36,108.48,One year,No,Yes,No,No
C0521,38,2,86.35,Month-to-month,Fiber optic,No,No,No
C0522,26,7,31.18,Month-to-month,Fiber optic,Yes,No,No
C0523,29,20,103.25,One year,Fiber optic,Yes,Yes,No
C0524,65,18,37.64,Month-to-month,Fiber optic,Yes,No,Yes
C0525,36,61,62.35,Month-to-month,Fiber optic,Yes,No,No
C0526,35,61,75.22,Month-to-month,No,Yes,No,Yes
C0527,71,62,70.08,Month-to-month,Fiber optic,Yes,Yes,No
C0528,26,46,88.62,Two year,Fiber optic,Yes,Yes,No
C0529,71,41,85.27,Month-to-month,DSL,Yes,No,No
C0530,71,47,119.2,Month-to-month,Fiber optic,Yes,No,No
C0531,52,30,119.94,Two year,DSL,Yes,Yes,No
C0532,27,49,71.65,Month-to-month,Fiber optic,Yes,Yes,No
C0533,27,58,29.52,One year,DSL,Yes,No,No
C0534,34,55,92.78,Month-to-month,Fiber optic,No,Yes,No
C0535,51,45,117.67,Two year,Fiber optic,Yes,No,No
C0536,26,5,51.83,One year,DSL,Yes,No,Yes
C0537,44,53,66.12,Two year,DSL,Yes,Yes,No
C0538,24,27,62.48,Month-to-month,Fiber optic,Yes,No,No
C0539,49,54,25.14,Month-to-month,DSL,Yes,Yes,No
C0540,19,39,87.23,One year,Fiber optic,Yes,Yes,No
C0541,59,64,55.33,Month-to-month,Fiber optic,No,No,Yes
C0542,21,25,98.75,Month-to-month,Fiber optic,Yes,No,Yes
C0543,29,68,103.21,Month-to-month,DSL,No,No,Yes
C0544,28,61,102.12,Two year,Fiber optic,Yes,Yes,No
C0545,66,24,61.67,One year,DSL,Yes,Yes,No
C0546,21,35,52.15,One year,Fiber optic,Yes,No,Yes
C0547,42,39,94.88,One year,DSL,Yes,No,Yes
C0548,52,56,100.14,Month-to-month,DSL,No,No,No
C0549,47,50,69.13,Month-to-month,Fiber optic,No,Yes,No
C0550,57,62,109.3,Month-to-month,Fiber optic,No,No,Yes
C0551,64,27,34.39,One year,Fiber optic,Yes,No,Yes
C0552,40,37,107.91,Month-to-month,DSL,No,No,No
C0553,66,32,29.61,Two year,Fiber optic,Yes,Yes,No
C0554,36,66,35.35,One year,DSL,No,No,No
C0555,75,22,73.38,Month-to-month,Fiber optic,Yes,Yes,No
C0556,47,43,26.75,Month-to-month,DSL,Yes,No,Yes
C0557,60,9,25.28,Month-to-month,Fiber optic,Yes,No,No
C0558,68,62,20.05,Two year,Fiber optic,Yes,No,Yes
C0559,63,28,63.63,Two year,No,Yes,No,No
C0560,67,25,97.46,Two year,Fiber optic,No,No,Yes
C0561,49,42,23.48,Month-to-month,DSL,No,No,No
C0562,20,36,85.23,Month-to-month,Fiber optic,No,No,Yes
C0563,46,62,102.31,Month-to-month,Fiber optic,Yes,No,No
C0564,28,39,36.8,Month-to-month,DSL,Yes,Yes,No
C0565,69,38,34.69,Month-to-month,DSL,Yes,No,No
C0566,31,8,106.08,Month-to-month,DSL,Yes,No,Yes
C0567,31,2,102.31,Two year,Fiber optic,Yes,No,Yes
C0568,32,29,73.89,Month-to-month,Fiber optic,Yes,No,Yes
C0569,55,72,101.92,Month-to-month,Fiber optic,Yes,No,Yes
C0570,51,67,29.28,One year,DSL,Yes,Yes,No
C0571,73,46,59.45,One year,Fiber optic,Yes,No,No
C0572,42,46,93.78,One year,Fiber optic,Yes,Yes,No
C0573,34,29,45.75,One year,Fiber optic,Yes,Yes,No
C0574,20,13,95.23,Two year,Fiber optic,No,No,Yes
C0575,18,1,70.42,One year,Fiber optic,Yes,Yes,No
C0576,39,25,95.03,Month-to-month,Fiber optic,No,No,Yes
C0577,71,23,66.47,One year,DSL,Yes,No,No
C0578,48,14,56.79,Month-to-month,DSL,Yes,Yes,No
C0579,69,19,41.92,Month-to-month,Fiber optic,Yes,No,No
C0580,23,2,40.84,Month-to-month,DSL,No,Yes,No
C0581,23,44,95.15,Month-to-month,DSL,Yes,No,No
C0582,66,67,31.89,One year,Fiber optic,Yes,No,Yes
C0583,24,50,28.6,Month-to-month,Fiber optic,Yes,No,No
C0584,21,33,37.63,Month-to-month,Fiber optic,Yes,No,Yes
C0585,41,31,37.53,Month-to-month,Fiber optic,Yes,No,No
C0586,71,23,102.31,Two year,DSL,Yes,No,No
C0587,57,11,59.85,Month-to-month,No,Yes,No,Yes
C0588,23,44,119.04,One year,Fiber optic,Yes,No,Yes
C0589,66,41,33.72,Two year,DSL,Yes,No,Yes
C0590,66,1,85.35,Month-to-month,Fiber optic,Yes,Yes,Yes
C0591,64,30,64.87,One year,DSL,No,No,Yes
C0592,70,21,59.29,Month-to-month,DSL,No,Yes,No
C0593,31,13,107.51,Month-to-month,Fiber optic,Yes,No,Yes
C0594,74,51,117.56,One year,Fiber optic,Yes,Yes,No
C0595,36,38,107.29,Two year,DSL,Yes,Yes,No
C0596,64,46,39.23,Month-to-month,No,Yes,No,No
C0597,51,52,42.08,Month-to-month,Fiber optic,Yes,No,Yes
C0598,63,71,85.61,Month-to-month,Fiber optic,Yes,No,No
C0599,54,58,48.91,Month-to-month,Fiber optic,No,No,Yes
C0600,55,45,93.47,One year,DSL,Yes,No,Yes
